PS C:\Projects\DE2026_DataOPS_HW\HW23> docker compose logs airflow-webserver
airflow_webserver  | 
airflow_webserver  | [2026-03-11T20:09:04.252+0000] {override.py:1962} INFO - Added Permission menu access on Configurations to role Admin        
airflow_webserver  | [2026-03-11T20:09:04.278+0000] {override.py:1911} INFO - Created Permission View: can create on Connections
airflow_webserver  | [2026-03-11T20:09:04.284+0000] {override.py:1962} INFO - Added Permission can create on Connections to role Admin
airflow_webserver  | [2026-03-11T20:09:04.290+0000] {override.py:1911} INFO - Created Permission View: can read on Connections
airflow_webserver  | [2026-03-11T20:09:04.294+0000] {override.py:1962} INFO - Added Permission can read on Connections to role Admin
airflow_webserver  | [2026-03-11T20:09:04.299+0000] {override.py:1911} INFO - Created Permission View: can edit on Connections
airflow_webserver  | [2026-03-11T20:09:04.303+0000] {override.py:1962} INFO - Added Permission can edit on Connections to role Admin
airflow_webserver  | [2026-03-11T20:09:04.307+0000] {override.py:1911} INFO - Created Permission View: can delete on Connections
airflow_webserver  | [2026-03-11T20:09:04.311+0000] {override.py:1962} INFO - Added Permission can delete on Connections to role Admin
airflow_webserver  | [2026-03-11T20:09:04.318+0000] {override.py:1911} INFO - Created Permission View: menu access on Connections
airflow_webserver  | [2026-03-11T20:09:04.322+0000] {override.py:1962} INFO - Added Permission menu access on Connections to role Admin
airflow_webserver  | [2026-03-11T20:09:04.351+0000] {override.py:1911} INFO - Created Permission View: can read on SLA Misses
airflow_webserver  | [2026-03-11T20:09:04.355+0000] {override.py:1962} INFO - Added Permission can read on SLA Misses to role Admin
airflow_webserver  | [2026-03-11T20:09:04.360+0000] {override.py:1911} INFO - Created Permission View: menu access on SLA Misses
airflow_webserver  | [2026-03-11T20:09:04.364+0000] {override.py:1962} INFO - Added Permission menu access on SLA Misses to role Admin
airflow_webserver  | [2026-03-11T20:09:04.368+0000] {override.py:1911} INFO - Created Permission View: can delete on SLA Misses
airflow_webserver  | [2026-03-11T20:09:04.372+0000] {override.py:1962} INFO - Added Permission can delete on SLA Misses to role Admin
